EmployeeID,Department,JobTitle,Gender,Salary,TenureYears,EarlyTenureFlag,PerformanceRating,HighPerformerFlag,AbsenceDays_Last6M,AbsenceFrequency_Last6M,LongLeaveFlag,HighAbsenceFlag,AvgOverallScore,LastOverallScore,AvgCommunication,AvgTeamwork,AvgProblemSolving,PerformanceDropFlag,TrainingCount,DaysSinceLastTraining,NoTrainingFlag,YearsSinceLastRaise,SalaryChangeCount,PayStagnationFlag,EngagementScore,CareerStagnationFlag,BurnoutRiskScore,AttritionFlag
PNR-1029,Research & Development,Scientist,Non-binary,81662,2,0,5,1,0,0,0,0,4,4,3,2,5,0,0,9999,1,1,1,0,2,0,0,0
PNR-10291,Production,Operations Manager,Male,154779,5,0,3,0,0,0,0,0,5,5,4,2,3,0,5,789,0,2,4,0,3.5,0,0,0
PNR-10016,Logistics,Warehouse Associate,Female,84564,7,0,3,0,0,0,0,0,3,5,3,4,3,0,3,1535,0,4,3,1,2.1,0,0,0
PNR-1003,Sales,Sales Associate,Female,73690,3,0,5,1,10,1,1,1,2,2,4,3,3,0,4,646,0,1,2,0,-1.2,0,0.6,0
PNR-10053,IT Support,IT Manager,Female,121794,7,0,4,1,0,0,0,0,5,5,4,3,4,0,0,9999,1,4,3,1,2.5,1,0,1
PNR-1007,Finance,Controller,Non-binary,79253,7,0,2,0,10,1,1,1,3,4,2,3,3,0,3,1193,0,4,3,1,-0.9,0,0.6,1
PNR-10087,Quality Control,QC Manager,Male,129622,1,1,2,0,0,0,0,0,3,3,2,2,5,0,4,10,0,0,0,0,2.3,0,0,0
PNR-10096,Logistics,Logistics Coordinator,Female,72288,3,0,5,1,2,1,0,0,3,3,3,2,2,0,1,129,0,1,2,0,1.1,0,0.6,0
PNR-10098,Marketing,Marketing Manager,Male,145989,6,0,5,1,0,0,0,0,3,4,3,4,3,0,3,482,0,3,3,1,2.1,0,0,1
PNR-10115,Sales,Regional Sales Manager,Male,176423,8,0,5,1,0,0,0,0,3,5,3,3,4,0,3,639,0,5,3,1,2.1,0,0,0
PNR-10127,Logistics,Logistics Coordinator,Male,69706,3,0,5,1,10,1,1,1,3,5,2,3,2,0,5,62,0,0,3,0,-0.5,0,0.6,0
PNR-10133,Human Resources,HR Coordinator,Male,71396,8,0,3,0,0,0,0,0,5,5,5,5,5,0,4,185,0,4,3,1,3.3,0,0,0
PNR-10151,Production,Production Worker,Female,55273,5,0,4,1,0,0,0,0,3,4,3,3,2,0,1,774,0,2,3,0,1.7,0,0,0
PNR-10182,IT Support,IT Technician,Non-binary,63931,2,0,4,1,3,2,0,0,4,4,4,4,4,0,0,9999,1,1,1,0,1.1,0,1.2,0
PNR-10202,Human Resources,HR Generalist,Male,59732,7,0,2,0,0,0,0,0,3,4,4,3,3,0,1,2106,0,4,3,1,1.7,0,0,1
PNR-10209,Sales,Account Manager,Non-binary,154080,7,0,4,1,0,0,0,0,3,3,2,5,3,0,2,724,0,5,2,1,1.9,0,0,0
PNR-10211,Quality Control,QC Inspector,Non-binary,64526,5,0,3,0,3,2,0,0,4,5,2,4,3,0,1,791,0,2,3,0,1.3,0,1.2,1
PNR-10242,Production,Line Supervisor,Female,61482,3,0,5,1,0,0,0,0,3,4,3,4,4,0,0,9999,1,1,2,0,1.5,0,0,0
PNR-10249,Finance,Controller,Non-binary,81389,2,0,3,0,0,0,0,0,4,5,4,2,4,0,2,181,0,1,2,0,2.4,0,0,1
PNR-10253,Marketing,Marketing Manager,Non-binary,133273,8,0,2,0,0,0,0,0,2,3,3,3,4,0,1,1843,0,5,3,1,1.2,0,0,0
PNR-10262,IT Support,IT Manager,Male,121609,5,0,3,0,2,1,0,0,3,4,3,3,4,0,0,9999,1,2,3,0,0.9,0,0.6,0
PNR-10279,Research & Development,Scientist,Female,69420,7,0,2,0,0,0,0,0,5,5,5,2,3,0,3,1488,0,4,3,1,3.1,0,0,1
PNR-10290,Sales,Sales Associate,Female,74078,5,0,3,0,0,0,0,0,4,5,3,3,5,0,3,512,0,3,3,1,2.6,0,0,0
PNR-10300,Marketing,Digital Marketer,Male,76213,4,0,5,1,0,0,0,0,2,2,2,5,3,0,5,127,0,2,2,0,2,0,0,0
PNR-10303,Production,Production Worker,Male,74369,7,0,4,1,0,0,0,0,4,4,4,3,5,0,4,148,0,3,4,1,2.8,0,0,0
PNR-10305,IT Support,IT Technician,Male,81722,3,0,5,1,0,0,0,0,3,3,4,2,5,0,0,9999,1,1,2,0,1.5,0,0,0
PNR-10308,Quality Control,QC Manager,Male,160836,8,0,2,0,0,0,0,0,3,4,3,4,3,0,0,9999,1,5,3,1,1.5,0,0,1
PNR-10341,Production,Production Worker,Female,77466,1,1,5,1,10,1,1,1,5,5,2,3,3,0,0,9999,1,0,0,0,-0.5,0,0.6,0
PNR-10342,Quality Control,QC Inspector,Non-binary,75860,1,1,4,1,0,0,0,0,4,4,2,4,4,0,0,9999,1,0,0,0,2,0,0,0
PNR-10349,Production,Production Worker,Non-binary,63580,2,0,5,1,0,0,0,0,2,2,3,2,2,0,4,53,0,1,1,0,1.8,0,0,0
PNR-10360,Quality Control,QC Manager,Female,132160,5,0,3,0,0,0,0,0,2,3,3,3,3,0,4,308,0,2,3,0,1.8,0,0,0
PNR-10315,IT Support,IT Manager,Male,149082,2,0,5,1,3,1,0,0,4,4,3,2,2,0,0,9999,1,1,1,0,1.1,0,0.6,1
PNR-10326,Sales,Regional Sales Manager,Male,161821,8,0,5,1,0,0,0,0,4,5,2,3,3,0,0,9999,1,5,3,1,2,1,0,0
PNR-10347,Production,Line Supervisor,Male,83718,4,0,3,0,0,0,0,0,4,5,4,3,4,0,1,143,0,1,3,0,2.2,0,0,0
PNR-10348,IT Support,IT Manager,Male,155499,4,0,3,0,0,0,0,0,3,3,4,3,3,0,5,15,0,2,3,0,2.5,0,0,0
PNR-10350,Sales,Sales Associate,Non-binary,83921,4,0,5,1,3,1,0,0,4,4,5,4,3,0,3,269,0,2,2,0,1.7,0,0.6,0
PNR-10354,Sales,Sales Associate,Female,55405,8,0,5,1,0,0,0,0,3,5,3,3,3,0,0,9999,1,6,3,1,1.5,1,0,0
PNR-10367,Human Resources,Recruiter,Male,67237,8,0,5,1,0,0,0,0,3,5,4,4,3,0,1,714,0,5,3,1,1.7,0,0,1
PNR-10368,Production,Production Worker,Non-binary,56592,7,0,4,1,2,1,0,0,3,5,3,4,4,0,3,166,0,4,3,1,1.5,0,0.6,0
PNR-1037,Marketing,Marketing Manager,Male,170636,2,0,3,0,0,0,0,0,2,2,5,4,4,0,2,259,0,1,1,0,1.4,0,0,0
PNR-10377,IT Support,IT Manager,Non-binary,134872,5,0,4,1,0,0,0,0,3,4,3,3,3,0,1,369,0,2,3,0,1.7,0,0,1
PNR-1039,Sales,Sales Associate,Male,83769,5,0,5,1,0,0,0,0,4,5,3,4,3,0,1,353,0,2,3,0,2.2,0,0,0
PNR-10400,Sales,Regional Sales Manager,Male,166796,4,0,2,0,10,1,1,1,2,3,3,2,3,0,0,9999,1,1,3,0,-2,0,0.6,0
PNR-10422,Production,Production Worker,Male,62645,7,0,3,0,0,0,0,0,3,3,5,4,3,0,2,185,0,5,3,1,1.9,0,0,0
PNR-10424,Quality Control,QC Inspector,Non-binary,83570,1,1,2,0,0,0,0,0,3,3,4,4,3,0,1,28,0,0,1,0,1.7,0,0,0
PNR-10425,Research & Development,Research Lead,Non-binary,94160,6,0,5,1,0,0,0,0,2,4,4,3,4,0,5,720,0,2,4,0,2,0,0,1
PNR-10432,Logistics,Warehouse Associate,Male,69359,3,0,4,1,0,0,0,0,3,3,4,5,2,0,3,238,0,1,2,0,2.1,0,0,0
PNR-10435,Production,Production Worker,Female,67919,4,0,5,1,1,1,0,0,4,5,4,4,3,0,0,9999,1,1,3,0,1.7,0,0.6,0
PNR-10440,Logistics,Logistics Coordinator,Non-binary,71187,4,0,3,0,3,1,0,0,2,2,5,2,3,0,5,224,0,2,2,0,1.1,0,0.6,0
PNR-10460,Finance,Accountant,Female,67817,6,0,5,1,0,0,0,0,3,4,3,3,3,0,4,14,0,3,3,1,2.3,0,0,0
PNR-10499,Research & Development,Lab Technician,Non-binary,68758,8,0,2,0,0,0,0,0,5,5,4,4,5,0,5,260,0,5,3,1,3.5,0,0,0
PNR-1050,Research & Development,Lab Technician,Male,76957,4,0,2,0,0,0,0,0,2,3,2,3,3,0,2,5,0,1,3,0,1.4,0,0,0
PNR-10504,Quality Control,QC Inspector,Non-binary,81396,5,0,3,0,0,0,0,0,3,5,3,3,5,0,1,1624,0,2,3,0,1.7,0,0,1
PNR-10513,Production,Operations Manager,Male,175810,1,1,2,0,5,1,0,0,2,2,3,5,3,0,2,107,0,0,0,0,-0.1,0,0.6,0
PNR-10530,Sales,Account Manager,Female,139737,8,0,5,1,0,0,0,0,3,5,2,3,3,0,5,239,0,6,3,1,2.5,0,0,0
PNR-10544,Quality Control,QC Manager,Female,162951,5,0,3,0,0,0,0,0,5,5,4,4,2,0,5,107,0,1,4,0,3.5,0,0,0
PNR-10555,Quality Control,QC Manager,Non-binary,153426,6,0,5,1,0,0,0,0,4,4,5,2,4,0,5,303,0,3,3,1,3,0,0,1
PNR-10561,Human Resources,HR Coordinator,Female,81574,2,0,5,1,0,0,0,0,3,3,5,4,3,0,5,20,0,1,1,0,2.5,0,0,0
PNR-10574,Finance,Controller,Male,57433,3,0,2,0,5,1,0,0,3,5,2,3,3,0,5,85,0,1,2,0,1,0,0.6,0
PNR-10587,Marketing,Marketing Manager,Male,125518,4,0,2,0,0,0,0,0,2,2,5,4,4,0,2,14,0,1,3,0,1.4,0,0,1
PNR-10362,Sales,Sales Associate,Female,82955,5,0,4,1,0,0,0,0,4,5,3,2,3,0,0,9999,1,3,2,1,2,1,0,1
PNR-10365,Sales,Regional Sales Manager,Female,135653,5,0,3,0,0,0,0,0,3,5,4,3,4,0,2,85,0,2,3,1,1.9,0,0,0
PNR-10372,Logistics,Warehouse Associate,Non-binary,74758,5,0,4,1,0,0,0,0,4,5,3,3,3,0,4,288,0,2,3,0,2.8,0,0,1
PNR-10373,Research & Development,Research Lead,Male,91454,3,0,4,1,0,0,0,0,2,2,4,3,3,0,1,11,0,1,2,0,1.2,0,0,0
PNR-10378,Sales,Account Manager,Male,175350,7,0,3,0,0,0,0,0,3,5,3,3,3,0,2,1262,0,4,3,1,1.9,0,0,0
PNR-10379,Research & Development,Lab Technician,Non-binary,80790,7,0,3,0,0,0,0,0,4,5,3,4,4,0,5,734,0,4,3,1,3,0,0,0
PNR-10413,Sales,Sales Associate,Female,63484,8,0,2,0,0,0,0,0,3,5,3,4,4,0,3,585,0,7,2,1,2.1,0,0,1
PNR-10416,Quality Control,QC Manager,Female,175556,1,1,3,0,0,0,0,0,4,4,5,2,4,0,5,165,0,0,0,0,3,0,0,0
PNR-10419,Marketing,Digital Marketer,Non-binary,78310,8,0,3,0,0,0,0,0,4,5,2,4,3,0,3,139,0,5,3,1,2.6,0,0,1
PNR-10421,Human Resources,HR Coordinator,Female,67184,7,0,4,1,0,0,0,0,3,5,3,3,4,0,5,66,0,5,3,1,2.5,0,0,0
PNR-10428,Production,Line Supervisor,Non-binary,75923,3,0,2,0,5,1,0,0,4,4,4,5,5,0,2,142,0,1,2,0,0.9,0,0.6,0
PNR-10430,Human Resources,Recruiter,Female,70716,1,1,4,1,0,0,0,0,2,2,3,4,4,0,4,67,0,0,0,0,1.8,0,0,1
PNR-10431,Production,Line Supervisor,Female,58492,2,0,4,1,0,0,0,0,5,5,3,3,3,0,5,29,0,1,1,0,3.5,0,0,0
PNR-10437,Research & Development,Lab Technician,Female,64438,1,1,4,1,0,0,0,0,5,5,2,3,5,0,0,9999,1,0,0,0,2.5,0,0,0
PNR-10455,Quality Control,QC Manager,Male,124514,7,0,2,0,3,1,0,0,2,2,3,2,4,0,2,291,0,4,3,1,0.5,0,0.6,0
PNR-10498,IT Support,IT Technician,Non-binary,77816,3,0,3,0,0,0,0,0,3,4,2,2,4,0,1,802,0,1,2,0,1.7,0,0,0
PNR-10502,Finance,Financial Analyst,Non-binary,65600,6,0,4,1,10,1,1,1,4,5,3,2,2,0,5,892,0,3,3,1,0,0,0.6,0
PNR-10534,Production,Operations Manager,Male,170738,8,0,5,1,0,0,0,0,3,5,4,3,3,0,1,2376,0,5,3,1,1.7,0,0,1
PNR-10545,Finance,Accountant,Male,83043,8,0,4,1,1,1,0,0,3,3,4,2,5,0,4,661,0,5,3,1,2,0,0.6,0
PNR-10549,IT Support,IT Manager,Female,147253,5,0,5,1,3,1,0,0,4,4,4,4,2,0,3,886,0,2,3,0,1.7,0,0.6,1
PNR-10556,Research & Development,Scientist,Non-binary,69768,4,0,4,1,1,1,0,0,5,5,4,3,3,0,2,106,0,1,3,0,2.6,0,0.6,0
PNR-10563,Research & Development,Lab Technician,Male,62162,6,0,5,1,0,0,0,0,3,5,4,2,3,0,4,189,0,4,2,1,2.3,0,0,0
PNR-10565,Quality Control,QC Manager,Non-binary,123293,8,0,4,1,0,0,0,0,3,3,2,3,5,0,2,728,0,6,2,1,1.9,0,0,0
PNR-10575,Finance,Financial Analyst,Male,73797,2,0,2,0,0,0,0,0,2,2,4,3,3,0,3,103,0,1,1,0,1.6,0,0,0
PNR-10586,Production,Production Worker,Female,84626,2,0,4,1,0,0,0,0,3,3,5,5,3,0,4,118,0,1,1,0,2.3,0,0,0
PNR-10588,Research & Development,Scientist,Male,74939,5,0,2,0,1,1,0,0,3,3,4,4,2,0,0,9999,1,2,3,0,1.2,0,0.6,0
PNR-10607,Quality Control,QC Inspector,Male,59905,3,0,4,1,1,1,0,0,3,4,4,3,3,0,3,91,0,1,2,0,1.8,0,0.6,0
PNR-10623,Quality Control,QC Inspector,Male,71287,1,1,2,0,0,0,0,0,3,3,4,2,4,0,1,60,0,0,0,0,1.7,0,0,0
PNR-10624,IT Support,IT Technician,Male,64632,3,0,4,1,0,0,0,0,3,3,3,2,5,0,4,237,0,1,2,0,2.3,0,0,0
PNR-10596,Finance,Financial Analyst,Non-binary,83874,5,0,2,0,0,0,0,0,4,5,3,4,3,0,2,337,0,3,2,1,2.4,0,0,0
PNR-1061,Human Resources,HR Generalist,Female,71079,6,0,2,0,0,0,0,0,2,5,3,3,4,0,2,1597,0,3,3,1,1.4,0,0,0
PNR-10628,Logistics,Logistics Coordinator,Male,55105,2,0,3,0,0,0,0,0,5,5,3,3,5,0,1,340,0,1,1,0,2.7,0,0,0
PNR-10646,Production,Line Supervisor,Non-binary,68585,1,1,5,1,10,1,1,1,2,2,2,3,5,0,1,9,0,0,0,0,-1.8,0,0.6,0
PNR-1066,Quality Control,QC Inspector,Male,60773,4,0,2,0,0,0,0,0,3,5,4,3,4,0,2,456,0,2,3,0,1.9,0,0,1
PNR-10673,Research & Development,Lab Technician,Male,68714,1,1,5,1,0,0,0,0,3,3,5,3,3,0,5,19,0,0,0,0,2.5,0,0,0
PNR-10682,Sales,Sales Associate,Non-binary,60764,5,0,2,0,0,0,0,0,4,5,4,4,3,0,1,483,0,2,3,0,2.2,0,0,0
PNR-10685,Marketing,Marketing Coordinator,Female,83302,6,0,5,1,0,0,0,0,3,5,3,3,2,0,3,193,0,4,2,1,2.1,0,0,0
PNR-10687,Research & Development,Scientist,Male,79324,7,0,2,0,0,0,0,0,4,5,4,4,3,0,2,1855,0,4,3,1,2.4,0,0,1
PNR-10699,Logistics,Warehouse Associate,Non-binary,65732,1,1,2,0,0,0,0,0,2,2,5,5,5,0,5,12,0,0,0,0,2,0,0,0
PNR-10711,Logistics,Warehouse Associate,Male,63778,5,0,2,0,0,0,0,0,4,5,2,3,4,0,4,95,0,2,3,0,2.8,0,0,0
PNR-10722,IT Support,IT Manager,Male,146344,5,0,2,0,0,0,0,0,4,5,3,4,3,0,1,248,0,2,3,0,2.2,0,0,0
PNR-10726,Human Resources,Recruiter,Male,67571,6,0,2,0,5,1,0,0,2,3,3,3,3,0,2,901,0,3,3,1,-0.1,0,0.6,0
PNR-1075,Logistics,Warehouse Associate,Female,84450,1,1,5,1,0,0,0,0,2,2,3,3,5,0,2,53,0,0,0,0,1.4,0,0,0
PNR-10751,Finance,Accountant,Male,74287,6,0,2,0,0,0,0,0,4,5,4,4,3,0,3,293,0,3,3,1,2.6,0,0,0
PNR-10760,Production,Production Worker,Non-binary,63313,7,0,3,0,0,0,0,0,4,5,2,4,2,0,1,1776,0,3,4,1,2.2,0,0,0
PNR-1078,Marketing,Marketing Manager,Male,163766,5,0,2,0,0,0,0,0,2,2,2,4,4,0,4,253,0,3,3,1,1.8,0,0,0
PNR-10789,Marketing,Marketing Coordinator,Female,84713,2,0,3,0,2,1,0,0,3,3,3,5,3,0,5,32,0,1,1,0,1.9,0,0.6,0
PNR-10803,Quality Control,QC Manager,Male,174028,1,1,4,1,0,0,0,0,4,4,4,5,5,0,1,201,0,0,0,0,2.2,0,0,0
PNR-10804,Production,Operations Manager,Non-binary,130624,4,0,5,1,0,0,0,0,2,2,5,3,2,0,5,6,0,1,3,0,2,0,0,0
PNR-10828,Marketing,Marketing Manager,Male,156028,8,0,5,1,0,0,0,0,2,2,3,3,3,0,2,645,0,4,4,1,1.4,0,0,1
PNR-10840,Marketing,Digital Marketer,Non-binary,63076,5,0,3,0,0,0,0,0,3,5,4,3,2,0,2,1166,0,2,3,0,1.9,0,0,0
PNR-10844,Production,Line Supervisor,Male,63287,1,1,4,1,0,0,0,0,5,5,5,2,4,0,2,164,0,0,0,0,2.9,0,0,0
PNR-10845,Sales,Account Manager,Non-binary,172262,4,0,2,0,0,0,0,0,3,3,3,4,2,0,0,9999,1,1,3,0,1.5,0,0,0
PNR-10864,Quality Control,QC Manager,Non-binary,152533,4,0,2,0,0,0,0,0,4,4,3,3,4,0,4,270,0,2,2,0,2.8,0,0,0
PNR-10875,Finance,Accountant,Male,84610,4,0,2,0,0,0,0,0,2,2,4,5,5,0,0,9999,1,2,2,0,1,0,0,0
PNR-10899,Logistics,Logistics Coordinator,Male,60308,3,0,5,1,10,1,1,1,4,4,3,5,4,0,3,47,0,1,2,0,-0.4,0,0.6,1
PNR-10902,IT Support,Help Desk Specialist,Female,58047,2,0,3,0,0,0,0,0,4,4,5,4,4,0,4,76,0,1,1,0,2.8,0,0,0
PNR-10942,Human Resources,Recruiter,Male,64718,5,0,2,0,5,1,0,0,2,2,4,5,2,0,5,71,0,3,3,1,0.5,0,0.6,0
PNR-1063,Human Resources,HR Coordinator,Non-binary,56544,5,0,2,0,4,2,0,0,2,3,2,4,3,0,5,17,0,2,3,1,0.8,0,1.2,1
PNR-10647,Logistics,Warehouse Associate,Male,61990,4,0,3,0,0,0,0,0,4,5,4,2,2,0,2,1094,0,1,3,0,2.4,0,0,0
PNR-10658,Marketing,Marketing Coordinator,Male,77742,3,0,3,0,0,0,0,0,2,2,5,5,5,0,2,227,0,1,2,0,1.4,0,0,0
PNR-10667,Finance,Controller,Female,65139,3,0,3,0,0,0,0,0,4,5,3,2,3,0,0,9999,1,1,2,0,2,0,0,0
PNR-10676,Quality Control,QC Manager,Non-binary,131105,1,1,2,0,0,0,0,0,4,4,3,5,5,0,4,31,0,0,0,0,2.8,0,0,0
PNR-10680,IT Support,IT Manager,Female,128697,6,0,2,0,2,1,0,0,2,4,3,3,3,0,0,9999,1,3,3,1,0.4,0,0.6,0
PNR-10689,Marketing,Digital Marketer,Non-binary,69689,6,0,4,1,2,1,0,0,2,3,3,2,4,0,4,79,0,4,2,1,1.2,0,0.6,0
PNR-1069,IT Support,IT Technician,Male,77650,5,0,5,1,0,0,0,0,4,4,5,2,2,0,5,62,0,2,3,0,3,0,0,0
PNR-10709,Finance,Accountant,Non-binary,78441,2,0,4,1,2,1,0,0,4,4,2,4,3,0,2,277,0,1,1,0,1.8,0,0.6,1
PNR-10720,Human Resources,HR Coordinator,Female,67923,5,0,4,1,1,1,0,0,2,3,4,4,3,0,3,382,0,3,2,1,1.3,0,0.6,0
PNR-10724,Production,Line Supervisor,Non-binary,70444,6,0,4,1,2,1,0,0,3,5,3,3,3,0,3,84,0,3,3,1,1.5,0,0.6,0
PNR-10738,Finance,Controller,Female,67375,3,0,4,1,0,0,0,0,2,2,3,4,4,0,2,370,0,1,2,0,1.4,0,0,0
PNR-10745,Quality Control,QC Inspector,Non-binary,74003,4,0,4,1,0,0,0,0,3,4,3,3,4,0,0,9999,1,1,4,0,1.5,0,0,0
PNR-10749,Logistics,Warehouse Associate,Female,74187,6,0,5,1,0,0,0,0,3,3,3,4,3,0,5,544,0,4,2,1,2.5,0,0,1
PNR-10752,Marketing,Marketing Manager,Female,129789,5,0,2,0,0,0,0,0,3,3,5,5,2,0,0,9999,1,2,3,0,1.5,0,0,0
PNR-10769,Marketing,Digital Marketer,Female,66979,4,0,2,0,0,0,0,0,4,4,2,5,4,0,0,9999,1,2,3,0,2,0,0,0
PNR-10794,Production,Production Worker,Non-binary,80012,3,0,4,1,0,0,0,0,3,4,3,3,2,0,2,530,0,1,2,0,1.9,0,0,1
PNR-1080,Sales,Account Manager,Non-binary,165889,3,0,5,1,0,0,0,0,4,5,4,4,3,0,0,9999,1,1,2,0,2,0,0,1
PNR-10806,Quality Control,QC Manager,Female,155953,3,0,4,1,0,0,0,0,3,5,2,2,3,0,1,536,0,1,2,0,1.7,0,0,0
PNR-10822,Quality Control,QC Inspector,Male,82451,4,0,4,1,5,1,0,0,4,4,3,4,4,0,2,440,0,1,3,0,0.9,0,0.6,0
PNR-10823,Marketing,Marketing Coordinator,Female,58684,1,1,3,0,0,0,0,0,4,4,2,5,5,0,3,5,0,0,0,0,2.6,0,0,0
PNR-10824,Finance,Accountant,Male,75310,0,1,4,1,0,0,0,0,4,4,2,4,4,0,3,4,0,0,0,0,2.6,0,0,0
PNR-10825,Marketing,Marketing Manager,Female,126031,8,0,4,1,0,0,0,0,3,5,3,3,3,0,3,979,0,6,3,1,2.1,0,0,1
PNR-10859,Marketing,Digital Marketer,Female,82990,6,0,4,1,1,1,0,0,3,5,4,2,4,0,1,581,0,3,3,1,1.4,0,0.6,0
PNR-10889,Marketing,Marketing Manager,Male,158003,5,0,2,0,2,1,0,0,3,3,4,4,4,0,4,817,0,2,3,1,1.7,0,0.6,0
PNR-10891,Production,Operations Manager,Male,169426,2,0,2,0,5,1,0,0,2,2,3,2,3,0,1,492,0,1,1,0,-0.3,0,0.6,0
PNR-10892,Marketing,Marketing Manager,Male,121005,4,0,2,0,0,0,0,0,3,3,2,2,2,0,4,729,0,1,3,0,2.3,0,0,0
PNR-1091,Logistics,Warehouse Associate,Male,76874,2,0,5,1,0,0,0,0,4,4,2,5,2,0,5,97,0,1,1,0,3,0,0,0
PNR-10910,Production,Line Supervisor,Non-binary,78008,7,0,2,0,0,0,0,0,4,5,3,3,3,0,5,223,0,5,3,1,3,0,0,1
PNR-10945,Logistics,Logistics Coordinator,Non-binary,74633,6,0,3,0,0,0,0,0,2,4,3,3,3,0,2,917,0,4,2,1,1.4,0,0,0
PNR-10975,Production,Operations Manager,Male,165696,3,0,2,0,0,0,0,0,5,5,4,5,5,0,2,657,0,1,2,0,2.9,0,0,0
